entity_id,country,location_name,year_month,year,month,monthly_precip_mm,monthly_nasa_precip_mm,monthly_open_meteo_precip_mm,mean_daily_source_abs_diff_mm,rainy_days,heavy_rain_days,monthly_source_bias_mm
SEA_TH_BANGKOK,Thailand,Bangkok,2024-09-01,2024,9,292.945,291.49,294.4,5.2843333333333335,29,3,-2.909999999999968
SEA_TH_BANGKOK,Thailand,Bangkok,2024-10-01,2024,10,228.37,238.24,218.5,5.770967741935484,27,2,19.74000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2024-11-01,2024,11,50.300000000000004,34.199999999999996,66.4,1.288,8,1,-32.20000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2024-12-01,2024,12,5.42,1.34,9.5,0.29096774193548386,1,0,-8.16
SEA_TH_BANGKOK,Thailand,Bangkok,2025-01-01,2025,1,0.785,1.37,0.2,0.05064516129032258,0,0,1.1700000000000002
SEA_TH_BANGKOK,Thailand,Bangkok,2025-02-01,2025,2,35.555,12.209999999999999,58.9,1.7053571428571428,8,0,-46.69
SEA_TH_BANGKOK,Thailand,Bangkok,2025-03-01,2025,3,52.095,42.59,61.599999999999994,1.4158064516129032,9,0,-19.00999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2025-04-01,2025,4,102.74000000000001,93.08,112.4,4.168666666666667,22,1,-19.320000000000007
SEA_TH_BANGKOK,Thailand,Bangkok,2025-05-01,2025,5,288.47,344.64,232.3,5.835483870967742,30,1,112.33999999999997
SEA_TH_BANGKOK,Thailand,Bangkok,2025-06-01,2025,6,162.23,139.96,184.5,4.180000000000001,28,0,-44.53999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2025-07-01,2025,7,193.835,170.67,217.0,4.88741935483871,31,0,-46.33000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2025-08-01,2025,8,164.97,145.94,184.0,4.056129032258065,26,0,-38.06
SEA_TH_BANGKOK,Thailand,Bangkok,2025-09-01,2025,9,314.65,365.4,263.9,7.504666666666666,30,3,101.5
SEA_TH_BANGKOK,Thailand,Bangkok,2025-10-01,2025,10,177.385,163.87,190.9,5.179677419354839,22,1,-27.03
SEA_TH_BANGKOK,Thailand,Bangkok,2025-11-01,2025,11,140.18,119.96,160.4,4.382000000000001,14,2,-40.44000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2025-12-01,2025,12,5.93,2.66,9.2,0.2748387096774194,2,0,-6.539999999999999
SEA_TL_DILI,Timor-Leste,Dili,2020-01-01,2020,1,244.645,208.49,280.8,8.220322580645162,29,1,-72.31
SEA_TL_DILI,Timor-Leste,Dili,2020-02-01,2020,2,229.6,161.8,297.4,8.24551724137931,27,1,-135.59999999999997
SEA_TL_DILI,Timor-Leste,Dili,2020-03-01,2020,3,272.68,108.36,437.0,12.318709677419355,28,2,-328.64
SEA_TL_DILI,Timor-Leste,Dili,2020-04-01,2020,4,135.915,72.63000000000001,199.2,5.707,18,0,-126.56999999999998
SEA_TL_DILI,Timor-Leste,Dili,2020-05-01,2020,5,94.91,97.32000000000001,92.5,4.281935483870968,18,1,4.820000000000007
SEA_TL_DILI,Timor-Leste,Dili,2020-06-01,2020,6,8.709999999999999,3.72,13.7,0.4799999999999999,2,0,-9.979999999999999
SEA_TL_DILI,Timor-Leste,Dili,2020-07-01,2020,7,4.49,2.18,6.8,0.2703225806451613,0,0,-4.619999999999999
SEA_TL_DILI,Timor-Leste,Dili,2020-08-01,2020,8,8.25,0.0,16.5,0.532258064516129,2,0,-16.5
SEA_TL_DILI,Timor-Leste,Dili,2020-09-01,2020,9,19.15,0.0,38.3,1.2766666666666666,3,0,-38.3
SEA_TL_DILI,Timor-Leste,Dili,2020-10-01,2020,10,75.65,17.2,134.1,4.006451612903226,12,0,-116.89999999999999
SEA_TL_DILI,Timor-Leste,Dili,2020-11-01,2020,11,94.38,50.66,138.1,5.319999999999999,16,0,-87.44
SEA_TL_DILI,Timor-Leste,Dili,2020-12-01,2020,12,289.175,312.75,265.6,9.586774193548386,30,5,47.14999999999998
SEA_TL_DILI,Timor-Leste,Dili,2021-01-01,2021,1,368.51,317.42,419.6,13.811612903225807,30,4,-102.18
SEA_TL_DILI,Timor-Leste,Dili,2021-02-01,2021,2,304.985,326.87,283.09999999999997,13.181071428571428,24,5,43.77000000000004
SEA_TL_DILI,Timor-Leste,Dili,2021-03-01,2021,3,195.345,103.19,287.5,6.929354838709678,25,1,-184.31
SEA_TL_DILI,Timor-Leste,Dili,2021-04-01,2021,4,404.51,256.02,553.0,12.239333333333333,21,5,-296.98
SEA_TL_DILI,Timor-Leste,Dili,2021-05-01,2021,5,32.75,16.7,48.8,1.3651612903225807,10,0,-32.099999999999994
SEA_TL_DILI,Timor-Leste,Dili,2021-06-01,2021,6,53.14,18.38,87.9,3.158,14,0,-69.52000000000001
SEA_TL_DILI,Timor-Leste,Dili,2021-07-01,2021,7,9.2,0.0,18.4,0.5935483870967742,3,0,-18.4
SEA_TL_DILI,Timor-Leste,Dili,2021-08-01,2021,8,11.73,8.559999999999999,14.9,0.4612903225806451,4,0,-6.340000000000002
SEA_TL_DILI,Timor-Leste,Dili,2021-09-01,2021,9,23.330000000000002,24.46,22.2,1.3513333333333333,5,0,2.2600000000000016
SEA_TL_DILI,Timor-Leste,Dili,2021-10-01,2021,10,69.755,30.21,109.3,2.9693548387096773,18,0,-79.09
SEA_TL_DILI,Timor-Leste,Dili,2021-11-01,2021,11,205.95,95.5,316.4,9.673333333333334,28,1,-220.89999999999998
SEA_TL_DILI,Timor-Leste,Dili,2021-12-01,2021,12,252.8,191.3,314.3,7.932903225806451,29,2,-123.0
SEA_TL_DILI,Timor-Leste,Dili,2022-01-01,2022,1,263.09000000000003,268.88,257.3,5.849677419354839,31,2,11.579999999999984
SEA_TL_DILI,Timor-Leste,Dili,2022-02-01,2022,2,278.27,225.34,331.2,9.932142857142859,27,4,-105.85999999999999
SEA_TL_DILI,Timor-Leste,Dili,2022-03-01,2022,3,222.57,127.64,317.5,8.743225806451614,30,1,-189.86
SEA_TL_DILI,Timor-Leste,Dili,2022-04-01,2022,4,85.22500000000001,32.05,138.4,3.5450000000000004,12,0,-106.35000000000001
SEA_TL_DILI,Timor-Leste,Dili,2022-05-01,2022,5,58.765,28.229999999999997,89.3,3.1022580645161293,16,0,-61.07
SEA_TL_DILI,Timor-Leste,Dili,2022-06-01,2022,6,152.60999999999999,93.62,211.6,5.821333333333333,19,2,-117.97999999999999
SEA_TL_DILI,Timor-Leste,Dili,2022-07-01,2022,7,36.25,5.4,67.1,2.0283870967741935,8,0,-61.699999999999996
SEA_TL_DILI,Timor-Leste,Dili,2022-08-01,2022,8,13.715,0.23,27.200000000000003,0.8706451612903227,4,0,-26.970000000000002
SEA_TL_DILI,Timor-Leste,Dili,2022-09-01,2022,9,31.3,1.2000000000000002,61.4,2.038,5,0,-60.199999999999996
SEA_TL_DILI,Timor-Leste,Dili,2022-10-01,2022,10,143.54,61.28,225.8,6.00516129032258,23,1,-164.52
SEA_TL_DILI,Timor-Leste,Dili,2022-11-01,2022,11,229.21,121.62,336.8,8.570666666666666,27,2,-215.18
SEA_TL_DILI,Timor-Leste,Dili,2022-12-01,2022,12,246.38,219.76,273.0,8.671612903225807,24,3,-53.24000000000001
SEA_TL_DILI,Timor-Leste,Dili,2023-01-01,2023,1,132.09,89.88,174.3,5.301290322580646,23,1,-84.42000000000002
SEA_TL_DILI,Timor-Leste,Dili,2023-02-01,2023,2,306.46500000000003,398.93,214.0,11.229642857142858,28,3,184.93
SEA_TL_DILI,Timor-Leste,Dili,2023-03-01,2023,3,204.95,169.9,240.0,8.488387096774193,27,1,-70.1
SEA_TL_DILI,Timor-Leste,Dili,2023-04-01,2023,4,152.51999999999998,82.14,222.9,7.026000000000001,23,1,-140.76
SEA_TL_DILI,Timor-Leste,Dili,2023-05-01,2023,5,32.265,6.83,57.7,1.785483870967742,13,0,-50.870000000000005
SEA_TL_DILI,Timor-Leste,Dili,2023-06-01,2023,6,45.050000000000004,17.599999999999998,72.5,2.2213333333333334,11,0,-54.900000000000006
SEA_TL_DILI,Timor-Leste,Dili,2023-07-01,2023,7,65.365,50.830000000000005,79.9,1.7712903225806453,7,2,-29.07
SEA_TL_DILI,Timor-Leste,Dili,2023-08-01,2023,8,14.36,3.4200000000000004,25.3,0.7387096774193548,5,0,-21.88
SEA_TL_DILI,Timor-Leste,Dili,2023-09-01,2023,9,2.35,0.0,4.7,0.15666666666666668,0,0,-4.7
SEA_TL_DILI,Timor-Leste,Dili,2023-10-01,2023,10,10.05,0.0,20.1,0.6483870967741936,4,0,-20.1
